travel_destination_name,stay_date,average_occupancy
Boca Raton (Florida) (US),2023-01-01,0.6109490922507108
Boca Raton (Florida) (US),2023-01-02,0.5431614880531788
Boca Raton (Florida) (US),2023-01-03,0.6425073151455808
Boca Raton (Florida) (US),2023-01-04,0.7623815552526213
Boca Raton (Florida) (US),2023-01-05,0.8059000948453284
Boca Raton (Florida) (US),2023-01-06,0.8026189733670627
Boca Raton (Florida) (US),2023-01-07,0.7890007648841368
Boca Raton (Florida) (US),2023-01-08,0.5986217966579084
Boca Raton (Florida) (US),2023-01-09,0.7325484155926426
Boca Raton (Florida) (US),2023-01-10,0.8112797718678447
Boca Raton (Florida) (US),2023-01-11,0.8052195489810635
Boca Raton (Florida) (US),2023-01-12,0.8398769116121506
Boca Raton (Florida) (US),2023-01-13,0.8843135954465564
Boca Raton (Florida) (US),2023-01-14,0.9173224198772004
Boca Raton (Florida) (US),2023-01-15,0.8081033508961497
Boca Raton (Florida) (US),2023-01-16,0.7228096887807138
Boca Raton (Florida) (US),2023-01-17,0.8268612095549025
Boca Raton (Florida) (US),2023-01-18,0.8603045988715439
Boca Raton (Florida) (US),2023-01-19,0.8162649991418037
Boca Raton (Florida) (US),2023-01-20,0.7984211877264293
Boca Raton (Florida) (US),2023-01-21,0.8105913115017541
Boca Raton (Florida) (US),2023-01-22,0.6500251404450408
Boca Raton (Florida) (US),2023-01-23,0.7844901515164724
Boca Raton (Florida) (US),2023-01-24,0.8609088782212944
Boca Raton (Florida) (US),2023-01-25,0.886095738875051
Boca Raton (Florida) (US),2023-01-26,0.831009667774839
Boca Raton (Florida) (US),2023-01-27,0.8367001879944855
Boca Raton (Florida) (US),2023-01-28,0.8111084938257284
Boca Raton (Florida) (US),2023-01-29,0.6386792949416973
Boca Raton (Florida) (US),2023-01-30,0.7789564343216638
Boca Raton (Florida) (US),2023-01-31,0.8428529901666184
Boca Raton (Florida) (US),2023-02-01,0.8946570705658996
Boca Raton (Florida) (US),2023-02-02,0.8431402097423353
Boca Raton (Florida) (US),2023-02-03,0.8340873414174802
Boca Raton (Florida) (US),2023-02-04,0.8420098929156585
Boca Raton (Florida) (US),2023-02-05,0.7275485687628706
